text;animation;comment;next;previous;source_dlg;audiofile
Take care of yourself. The price of kolto tanks has jumped through the roof.;[];;[];[None];tat17_news_01;NM17AANEWS11000_.mp3
The Selkath put a bunch of export restrictions in place for kolto. It's hurting everybody.;[];;[];[None];tat17_news_01;NM17AANEWS11001_.mp3
I hear that Manaan is no longer shipping kolto. The Selkath must be trying to drive prices up.;[];;[];[None];tat17_news_01;NM17AANEWS11002_.mp3
If you have kolto tanks, use them sparingly. I can't find them cheap anywhere.;[];;[];[None];tat17_news_01;NM17AANEWS11003_.mp3
I'm sure I saw some holo-footage of you on the Manaan swoop track, what you doing here?;[];;[];[None];tat17_news_01;NM17AANEWS11004_.mp3
Did you win a regional swoop championship on Manaan or something? I recognize your face.;[];;[];[None];tat17_news_01;NM17AANEWS11005_.mp3
I heard about your Manaan win. I'm surprised the Tatooine track was able to attract a racer of your ability.;[];;[];[None];tat17_news_01;NM17AANEWS11006_.mp3
Motta swears he can get professional racers to come to Tatooine. If the Manaan Sector Champion is here, I guess he was right.;[];;[];[None];tat17_news_01;NM17AANEWS11007_.mp3
I hear Czerka is closing their Kashyyyk operation. Nobody seems to know why.;[];;[];[None];tat17_news_01;NM17AANEWS11008_.mp3
Czerka is claiming that their operation on Kashyyyk has become to costly to maintain. Sounds like a cover-up to me.;[];;[];[None];tat17_news_01;NM17AANEWS11009_.mp3
"No more supplies have been ordered for the Czerka outposts on Kashyyyk. Doesn't sound like ""economic restructuring"" to me.";[];;[];[None];tat17_news_01;NM17AANEWS11010_.mp3
A private trader told me about the bloodshed on Kashyyyk. Seems like Czerka wants to forget it was ever there.;[];;[];[None];tat17_news_01;NM17AANEWS11011_.mp3
A trader I know says there was some trouble on Korriban. I didn't want to hear about it. That's where the Sith Academy is.;[];;[];[None];tat17_news_01;NM17AANEWS11012_.mp3
If you're doing any private shipping, stay away from Korriban. Sounds like the Sith can't even get along with themselves.;[];;[];[None];tat17_news_01;NM17AANEWS11013_.mp3
Word is Korriban is a dangerous place to visit right now. Something about the Sith at the Academy.;[];;[];[None];tat17_news_01;NM17AANEWS11014_.mp3
I heard the Sith were fighting amongst themselves on Korriban. Course, they're always fighting someone.;[];;[];[None];tat17_news_01;NM17AANEWS11015_.mp3
I still haven't heard a final figure of how many people died on Taris.;[];;[];[None];tat17_news_01;NM17AANEWS11016_.mp3
"You never know what the Sith will do. Look at Taris; was there any reason for what happened there?";[];;[];[None];tat17_news_01;NM17AANEWS11017_.mp3
The Republic is too complacent. If they let Taris fall, do you think they care what happens out here?;[];;[];[None];tat17_news_01;NM17AANEWS11018_.mp3
With Taris gone, I wonder who the Sith will turn on next.;[];;[];[None];tat17_news_01;NM17AANEWS11019_.mp3
Move along, spacer.;[];These guards need to go hostile when the player has helped Freyyr.;[];[None];kas22_czerkg2_01;NM22AACZER06000_.mp3
You want to arrange a purchase, go talk to the director in his office.;[];;[];[None];kas22_czerkg2_01;NM22AACZER06001_.mp3
This assignment is the worst in the galaxy.;[];;[];[None];kas22_czerkg2_01;NM22AACZER06002_.mp3
Czerka Corporation should burn down some trees. Make room for some swoop races.;[];;[];[None];kas22_czerkg2_01;NM22AACZER06003_.mp3
Keep walking. This ain't no holiday port of call.;[];;[];[None];kas22_czerkg2_01;NM22AACZER06004_.mp3
If you've business with Czerka Corporation, take it to the director's office.;[];;[];[None];kas22_czerkg2_01;NM22AACZER06005_.mp3
Take a walk, spacer. You don't look like a big buyer to me.;[];;[];[None];kas22_czerkg2_01;NM22AACZER06006_.mp3
Watch yourself. We don't need anyone agitating the locals.;[];;[];[None];kas22_czerkg2_01;NM22AACZER06007_.mp3
